Torque_0,Torque_1,Torque_2,Torque_3,Torque_4,Torque_5
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
-171061.20111370087,-6.787700543492289,105404.74257401991,-0.000610841492281855,1.5661671959332127e-19,0.0
